航空公司,航班号,进机位时间,出机位时间,属性,航班任务,机型,最大旅客数
CZ,1327,2016-7-1 13:30:00,2016-7-1 14:55:00,国内,Y,320,312
CZ,1328,2016-7-1 12:45:00,2016-7-1 14:55:00,国内,Y,320,312
OQ,1329,2016-7-1 14:00:00,2016-7-1 15:00:00,国内,Y,320,312
CZ,1330,2016-7-1 13:55:00,2016-7-1 15:00:00,国内,Y,332,606
CZ,1331,2016-7-1 14:15:00,2016-7-1 15:05:00,国内,Y,E90,140
CZ,1332,2016-7-1 13:35:00,2016-7-1 15:05:00,国际,D,320,312
CZ,1333,2016-7-1 9:10:00,2016-7-1 15:05:00,国内,Y,738,378
CZ,1334,2016-7-1 14:00:00,2016-7-1 15:10:00,国内,Y,738,378
CZ,1335,2016-7-1 14:15:00,2016-7-1 15:15:00,国内,Y,332,606
VN,1336,2016-7-1 14:10:00,2016-7-1 15:15:00,国际,Y,321,362
CZ,1337,2016-7-1 13:45:00,2016-7-1 15:15:00,国内,Y,73G,268
KN,1338,2016-7-1 14:00:00,2016-7-1 15:20:00,国内,Y,738,378
GS,1339,2016-7-1 14:20:00,2016-7-1 15:25:00,国内,Y,32V,312
CZ,1340,2016-7-1 14:20:00,2016-7-1 15:25:00,国内,Y,319,252
CA,1341,2016-7-1 14:20:00,2016-7-1 15:25:00,国内,Y,319,252
SV,1342,2016-7-1 13:30:00,2016-7-1 15:25:00,国际,Y,772,752
CA,1343,2016-7-1 14:15:00,2016-7-1 15:30:00,国内,Y,789,750
MU,1344,2016-7-1 13:55:00,2016-7-1 15:30:00,国内,Y,321,362
CZ,1345,2016-7-1 13:50:00,2016-7-1 15:30:00,国内,3,321,362
CZ,1346,2016-7-1 14:45:00,2016-7-1 15:40:00,国内,Y,321,362
CZ,1347,2016-7-1 14:25:00,2016-7-1 15:40:00,国内,Y,E90,140
GA,1348,2016-7-1 14:45:00,2016-7-1 15:45:00,国际,Y,738,378
TG,1349,2016-7-1 14:35:00,2016-7-1 15:45:00,国际,Y,333,880
CZ,1350,2016-7-1 14:40:00,2016-7-1 15:50:00,国内,Y,738,378
CZ,1351,2016-7-1 14:40:00,2016-7-1 15:50:00,国内,Y,738,378
CZ,1352,2016-7-1 14:35:00,2016-7-1 15:50:00,国内,Y,73H,238
CZ,1353,2016-6-29 7:40:00,2016-7-1 15:50:00,国内,Y,788,500
HU,1354,2016-7-1 12:35:00,2016-7-1 15:55:00,国内,Y,738,378
HU,1355,2016-7-1 15:00:00,2016-7-1 16:00:00,国际,Y,738,378
CZ,1356,2016-6-28 18:20:00,2016-7-1 16:00:00,国内,Y,333,880
MU,1357,2016-7-1 15:10:00,2016-7-1 16:05:00,国内,Y,738,378
CZ,1358,2016-7-1 15:05:00,2016-7-1 16:05:00,国际,Y,738,378
CZ,1359,2016-7-1 14:35:00,2016-7-1 16:05:00,国内,Y,319,252
MU,1360,2016-7-1 12:20:00,2016-7-1 16:05:00,国内,Y,738,378
9C,1361,2016-7-1 15:05:00,2016-7-1 16:10:00,国内,Y,320,312
CZ,1362,2016-7-1 14:50:00,2016-7-1 16:10:00,国内,Y,738,378
HU,1363,2016-7-1 15:15:00,2016-7-1 16:15:00,国内,Y,738,378
CZ,1364,2016-7-1 14:35:00,2016-7-1 16:15:00,国内,Y,73G,268
VN,1365,2016-7-1 15:20:00,2016-7-1 16:20:00,国际,Y,321,362
CZ,1366,2016-7-1 15:10:00,2016-7-1 16:20:00,国际,Y,321,362
CZ,1367,2016-7-1 14:40:00,2016-7-1 16:20:00,国际,Y,320,312
HU,1368,2016-7-1 15:10:00,2016-7-1 16:25:00,国内,Y,738,378
CZ,1369,2016-7-1 14:55:00,2016-7-1 16:25:00,国内,Y,320,312
CA,1370,2016-7-1 15:25:00,2016-7-1 16:30:00,国内,Y,321,362
MU,1371,2016-7-1 15:00:00,2016-7-1 16:30:00,国内,Y,738,378
CZ,1372,2016-7-1 15:35:00,2016-7-1 16:40:00,国内,Y,320,312
CZ,1373,2016-7-1 15:20:00,2016-7-1 16:40:00,国内,Y,738,378
HU,1374,2016-7-1 13:40:00,2016-7-1 16:40:00,国内,Y,738,378
CA,1375,2016-7-1 15:40:00,2016-7-1 16:45:00,国内,Y,738,378
MU,1376,2016-7-1 15:35:00,2016-7-1 16:45:00,国内,Y,320,312
CZ,1377,2016-7-1 16:05:00,2016-7-1 16:50:00,国内,Y,319,252
CZ,1378,2016-7-1 15:45:00,2016-7-1 16:50:00,国际,Y,738,378
3U,1379,2016-7-1 15:40:00,2016-7-1 16:55:00,国内,Y,320,312
CZ,1380,2016-7-1 12:15:00,2016-7-1 16:55:00,国内,Y,319,252
CZ,1381,2016-7-1 15:55:00,2016-7-1 17:00:00,国内,Y,773,1100
CZ,1382,2016-7-1 15:20:00,2016-7-1 17:00:00,国内,3,773,1100
CZ,1383,2016-7-1 15:05:00,2016-7-1 17:00:00,国际,Y,320,312
CA,1384,2016-7-1 16:05:00,2016-7-1 17:05:00,国内,Y,321,362
3U,1385,2016-7-1 15:55:00,2016-7-1 17:05:00,国内,Y,320,312
CZ,1386,2016-7-1 14:45:00,2016-7-1 17:10:00,国际,Y,319,252
ZH,1387,2016-7-1 13:50:00,2016-7-1 17:10:00,国内,Y,320,312
CZ,1388,2016-7-1 16:10:00,2016-7-1 17:15:00,国内,Y,32V,312
MF,1389,2016-7-1 16:05:00,2016-7-1 17:15:00,国内,Y,738,378
CZ,1390,2016-7-1 15:15:00,2016-7-1 17:15:00,国际,Y,320,312
9C,1391,2016-7-1 16:15:00,2016-7-1 17:20:00,国内,Y,320,312
CZ,1392,2016-7-1 15:45:00,2016-7-1 17:20:00,国内,Y,752,478
CZ,1393,2016-7-1 15:40:00,2016-7-1 17:25:00,国内,Y,320,312
CA,1394,2016-7-1 16:25:00,2016-7-1 17:30:00,国内,Y,320,312
CI,1395,2016-7-1 16:15:00,2016-7-1 17:30:00,国际,Y,773,1100
MU,1396,2016-7-1 16:30:00,2016-7-1 17:35:00,国内,Y,32V,312
CZ,1397,2016-7-1 16:30:00,2016-7-1 17:35:00,国内,Y,320,312
MU,1398,2016-7-1 16:35:00,2016-7-1 17:40:00,国内,Y,32V,312
MU,1399,2016-7-1 16:30:00,2016-7-1 17:40:00,国内,Y,73W,298
CZ,1400,2016-7-1 16:20:00,2016-7-1 17:40:00,国际,Y,320,312
CZ,1401,2016-7-1 16:25:00,2016-7-1 17:45:00,国内,Y,319,252
9C,1402,2016-7-1 16:45:00,2016-7-1 17:50:00,国内,Y,32V,312
HU,1403,2016-7-1 16:25:00,2016-7-1 17:50:00,国内,Y,738,378
MU,1404,2016-7-1 16:50:00,2016-7-1 17:55:00,国内,Y,320,312
MU,1405,2016-7-1 16:50:00,2016-7-1 17:55:00,国内,Y,320,312
CZ,1406,2016-7-1 15:40:00,2016-7-1 17:55:00,国内,Y,320,312
HU,1407,2016-7-1 17:05:00,2016-7-1 18:00:00,国内,Y,73G,268
CZ,1408,2016-7-1 16:05:00,2016-7-1 18:00:00,国内,Y,321,362
OQ,1409,2016-7-1 17:00:00,2016-7-1 18:05:00,国内,Y,320,312
CZ,1410,2016-7-1 15:15:00,2016-7-1 18:05:00,国内,Y,738,378
ZH,1411,2016-7-1 14:50:00,2016-7-1 18:05:00,国内,Y,738,378
CZ,1412,2016-7-1 9:55:00,2016-7-1 18:05:00,国内,Y,738,378
CZ,1413,2016-7-1 16:40:00,2016-7-1 18:15:00,国内,Y,320,312
CZ,1414,2016-7-1 17:20:00,2016-7-1 18:20:00,国内,Y,738,378
CA,1415,2016-7-1 17:15:00,2016-7-1 18:25:00,国内,3,333,880
CZ,1416,2016-7-1 17:05:00,2016-7-1 18:25:00,国际,Y,321,362
ZH,1417,2016-7-1 13:40:00,2016-7-1 18:25:00,国内,Y,320,312
CZ,1418,2016-7-1 17:35:00,2016-7-1 18:30:00,国内,Y,319,252
MU,1419,2016-7-1 16:55:00,2016-7-1 18:30:00,国内,Y,321,362
CZ,1420,2016-7-1 11:45:00,2016-7-1 18:30:00,国内,Y,319,252
CZ,1421,2016-7-1 17:30:00,2016-7-1 18:35:00,国内,Y,321,362
UL,1422,2016-7-1 17:15:00,2016-7-1 18:35:00,国际,Y,332,606
MF,1423,2016-7-1 17:30:00,2016-7-1 18:40:00,国内,Y,738,378
CZ,1424,2016-7-1 16:00:00,2016-7-1 18:40:00,国内,Y,320,312
CA,1425,2016-7-1 12:55:00,2016-7-1 18:40:00,国内,Y,73G,268
CZ,1426,2016-7-1 10:40:00,2016-7-1 18:45:00,国内,3,738,378
ZH,1427,2016-7-1 18:10:00,2016-7-1 18:50:00,国内,Y,73H,238
CZ,1428,2016-7-1 18:05:00,2016-7-1 18:50:00,国内,Y,319,252
CZ,1429,2016-7-1 17:25:00,2016-7-1 18:50:00,国际,Y,321,362
MU,1430,2016-7-1 17:50:00,2016-7-1 18:55:00,国内,Y,32V,312
MU,1431,2016-7-1 17:45:00,2016-7-1 18:55:00,国内,Y,738,378
HU,1432,2016-7-1 17:00:00,2016-7-1 18:55:00,国内,Y,738,378
CZ,1433,2016-7-1 12:45:00,2016-7-1 18:55:00,国内,Y,333,880
CZ,1434,2016-7-1 18:10:00,2016-7-1 19:00:00,国际,Y,73G,268
CZ,1435,2016-7-1 16:35:00,2016-7-1 19:00:00,国际,Y,333,880
CZ,1436,2016-7-1 12:55:00,2016-7-1 19:00:00,国内,3,332,606
ZH,1437,2016-7-1 18:00:00,2016-7-1 19:05:00,国内,Y,319,252
CZ,1438,2016-7-1 17:45:00,2016-7-1 19:05:00,国内,Y,320,312
CZ,1439,2016-7-1 17:45:00,2016-7-1 19:05:00,国内,Y,738,378
CZ,1440,2016-7-1 17:35:00,2016-7-1 19:05:00,国内,Y,738,378
CA,1441,2016-7-1 18:20:00,2016-7-1 19:10:00,国内,Y,73G,268
CZ,1442,2016-7-1 18:05:00,2016-7-1 19:10:00,国内,Y,319,252
CZ,1443,2016-7-1 15:45:00,2016-7-1 19:10:00,国际,Y,738,378
ZH,1444,2016-7-1 17:30:00,2016-7-1 19:15:00,国内,Y,320,312
CZ,1445,2016-7-1 18:20:00,2016-7-1 19:20:00,国内,Y,320,312
MF,1446,2016-7-1 18:15:00,2016-7-1 19:20:00,国内,Y,738,378
HU,1447,2016-7-1 18:30:00,2016-7-1 19:25:00,国内,Y,738,378
CZ,1448,2016-7-1 17:40:00,2016-7-1 19:25:00,国内,Y,321,362
HU,1449,2016-7-1 18:45:00,2016-7-1 19:30:00,国内,Y,738,378
CZ,1450,2016-7-1 17:10:00,2016-7-1 19:30:00,国内,Y,321,362
CZ,1451,2016-7-1 18:35:00,2016-7-1 19:35:00,国内,Y,319,252
CZ,1452,2016-7-1 18:30:00,2016-7-1 19:35:00,国内,Y,320,312
CZ,1453,2016-7-1 17:45:00,2016-7-1 19:35:00,国内,Y,319,252
ZH,1454,2016-7-1 18:05:00,2016-7-1 19:40:00,国内,Y,320,312
CZ,1455,2016-7-1 17:50:00,2016-7-1 19:40:00,国内,3,321,362
CZ,1456,2016-7-1 18:50:00,2016-7-1 19:50:00,国内,Y,738,378
MU,1457,2016-7-1 18:45:00,2016-7-1 19:50:00,国内,Y,320,312
3U,1458,2016-7-1 17:55:00,2016-7-1 19:55:00,国际,Y,333,880
HU,1459,2016-7-1 17:50:00,2016-7-1 19:55:00,国内,Y,738,378
CZ,1460,2016-7-1 18:00:00,2016-7-1 20:00:00,国内,Y,333,880
CZ,1461,2016-7-1 17:15:00,2016-7-1 20:00:00,国内,Y,773,1100
CZ,1462,2016-7-1 16:10:00,2016-7-1 20:00:00,国际,Y,738,378
MU,1463,2016-7-1 18:55:00,2016-7-1 20:05:00,国内,Y,738,378
CZ,1464,2016-7-1 17:50:00,2016-7-1 20:05:00,国内,Y,738,378
SC,1465,2016-7-1 19:05:00,2016-7-1 20:10:00,国内,Y,73H,238
CZ,1466,2016-7-1 18:30:00,2016-7-1 20:10:00,国际,Y,738,378
CZ,1467,2016-7-1 12:20:00,2016-7-1 20:10:00,国内,Y,321,362
MU,1468,2016-7-1 18:55:00,2016-7-1 20:15:00,国内,Y,320,312
CZ,1469,2016-7-1 18:45:00,2016-7-1 20:15:00,国际,Y,738,378
SC,1470,2016-7-1 18:15:00,2016-7-1 20:15:00,国内,Y,738,378
ZH,1471,2016-7-1 19:05:00,2016-7-1 20:20:00,国内,Y,320,312
CZ,1472,2016-7-1 19:05:00,2016-7-1 20:20:00,国内,3,73G,268
CZ,1473,2016-7-1 18:40:00,2016-7-1 20:20:00,国内,Y,320,312
CA,1474,2016-7-1 19:25:00,2016-7-1 20:25:00,国内,Y,332,606
CA,1475,2016-7-1 19:25:00,2016-7-1 20:30:00,国内,Y,321,362
CZ,1476,2016-7-1 19:20:00,2016-7-1 20:30:00,国内,Y,738,378
AK,1477,2016-7-1 20:05:00,2016-7-1 20:50:00,国际,Y,320,312
CZ,1478,2016-7-1 19:40:00,2016-7-1 20:50:00,国内,Y,738,378
CZ,1479,2016-7-1 19:30:00,2016-7-1 20:50:00,国内,Y,738,378
MF,1480,2016-7-1 19:50:00,2016-7-1 20:55:00,国内,Y,738,378
CZ,1481,2016-7-1 15:55:00,2016-7-1 20:55:00,国内,Y,738,378
CZ,1482,2016-7-1 14:25:00,2016-7-1 20:55:00,国内,Y,E90,140
TG,1483,2016-7-1 19:50:00,2016-7-1 21:00:00,国际,Y,773,1100
CZ,1484,2016-7-1 19:00:00,2016-7-1 21:00:00,国际,Y,333,880
CZ,1485,2016-7-1 17:10:00,2016-7-1 21:00:00,国内,Y,332,606
CZ,1486,2016-7-1 20:10:00,2016-7-1 21:05:00,国内,Y,320,312
CZ,1487,2016-7-1 20:05:00,2016-7-1 21:05:00,国内,Y,738,378
ZH,1488,2016-7-1 19:55:00,2016-7-1 21:05:00,国内,Y,320,312
CZ,1489,2016-7-1 18:10:00,2016-7-1 21:05:00,国际,Y,333,880
9C,1490,2016-7-1 20:00:00,2016-7-1 21:10:00,国内,Y,320,312
CZ,1491,2016-7-1 17:10:00,2016-7-1 21:10:00,国内,Y,738,378
KN,1492,2016-7-1 20:10:00,2016-7-1 21:15:00,国内,Y,73H,238
CZ,1493,2016-7-1 16:55:00,2016-7-1 21:15:00,国际,Y,333,880
SC,1494,2016-7-1 20:15:00,2016-7-1 21:20:00,国内,Y,738,378
CZ,1495,2016-7-1 17:40:00,2016-7-1 21:20:00,国内,Y,319,252
ZH,1496,2016-7-1 20:20:00,2016-7-1 21:25:00,国内,Y,738,378
CZ,1497,2016-7-1 20:00:00,2016-7-1 21:30:00,国际,Y,321,362
CZ,1498,2016-7-1 19:00:00,2016-7-1 21:30:00,国际,Y,388,1708
CZ,1499,2016-7-1 20:00:00,2016-7-1 21:35:00,国内,Y,320,312
CZ,1500,2016-7-1 19:30:00,2016-7-1 21:35:00,混合,Y,332,606
CZ,1501,2016-7-1 18:20:00,2016-7-1 21:35:00,混合,Y,788,500
